Index,Notes (radial),Notes (scalar),PC Set,Prime Form,Forte class,Accidents,1,2,3,4,5,6
200221,Db C# Bb Eb F# G# An,C# Db Eb F# G# An Bb,11A3689,012479,6-47,"(0, 2, 0, 0, 2, 2, 1)",2,3,3,2,4,1
200222,Db C# Bb Eb F# G# A#,C# Db Eb F# G# A# Bb,11A368A,02479,5-35,"(0, 2, 0, 0, 2, 2, 2)",0,3,2,1,4,0
201000,Db C# Bb En Fb Gb Ab,C# Db En Fb Gb Ab Bb,11A4468,02469,5-34,"(0, 2, 0, 1, 0, 0, 0)",0,3,2,2,2,1
201001,Db C# Bb En Fb Gb An,C# Db En Fb Gb An Bb,11A4469,01469,5-32,"(0, 2, 0, 1, 0, 0, 1)",1,1,3,2,2,1
201002,Db C# Bb En Fb Gb A#,C# Db En Fb Gb A# Bb,11A446A,0258,4-27,"(0, 2, 0, 1, 0, 0, 2)",0,1,2,1,1,1
201010,Db C# Bb En Fb Gn Ab,C# Db En Fb Gn Ab Bb,11A4478,01369,5-31,"(0, 2, 0, 1, 0, 1, 0)",1,1,4,1,1,2
201011,Db C# Bb En Fb Gn An,C# Db En Fb Gn An Bb,11A4479,01369,5-31,"(0, 2, 0, 1, 0, 1, 1)",1,1,4,1,1,2
201012,Db C# Bb En Fb Gn A#,C# Db En Fb Gn A# Bb,11A447A,0369,4-28,"(0, 2, 0, 1, 0, 1, 2)",0,0,4,0,0,2
201020,Db C# Bb En Fb G# Ab,C# Db En Fb G# Ab Bb,11A4488,0258,4-27,"(0, 2, 0, 1, 0, 2, 0)",0,1,2,1,1,1
201021,Db C# Bb En Fb G# An,C# Db En Fb G# An Bb,11A4489,01258,5-38,"(0, 2, 0, 1, 0, 2, 1)",2,1,2,2,2,1
201022,Db C# Bb En Fb G# A#,C# Db En Fb G# A# Bb,11A448A,0258,4-27,"(0, 2, 0, 1, 0, 2, 2)",0,1,2,1,1,1
201100,Db C# Bb En Fn Gb Ab,C# Db En Fn Gb Ab Bb,11A4568,012469,6-46,"(0, 2, 0, 1, 1, 0, 0)",2,3,3,3,3,1
201101,Db C# Bb En Fn Gb An,C# Db En Fn Gb An Bb,11A4569,012569,6-44,"(0, 2, 0, 1, 1, 0, 1)",3,1,3,4,3,1
201102,Db C# Bb En Fn Gb A#,C# Db En Fn Gb A# Bb,11A456A,01258,5-38,"(0, 2, 0, 1, 1, 0, 2)",2,1,2,2,2,1
201110,Db C# Bb En Fn Gn Ab,C# Db En Fn Gn Ab Bb,11A4578,013469,6-27,"(0, 2, 0, 1, 1, 1, 0)",2,2,5,2,2,2
201111,Db C# Bb En Fn Gn An,C# Db En Fn Gn An Bb,11A4579,013569,6-28,"(0, 2, 0, 1, 1, 1, 1)",2,2,4,3,2,2
201112,Db C# Bb En Fn Gn A#,C# Db En Fn Gn A# Bb,11A457A,01369,5-31,"(0, 2, 0, 1, 1, 1, 2)",1,1,4,1,1,2
201120,Db C# Bb En Fn G# Ab,C# Db En Fn G# Ab Bb,11A4588,01469,5-32,"(0, 2, 0, 1, 1, 2, 0)",1,1,3,2,2,1
201121,Db C# Bb En Fn G# An,C# Db En Fn G# An Bb,11A4589,012569,6-44,"(0, 2, 0, 1, 1, 2, 1)",3,1,3,4,3,1
201122,Db C# Bb En Fn G# A#,C# Db En Fn G# A# Bb,11A458A,01469,5-32,"(0, 2, 0, 1, 1, 2, 2)",1,1,3,2,2,1
201200,Db C# Bb En F# Gb Ab,C# Db En F# Gb Ab Bb,11A4668,02469,5-34,"(0, 2, 0, 1, 2, 0, 0)",0,3,2,2,2,1
201201,Db C# Bb En F# Gb An,C# Db En F# Gb An Bb,11A4669,01469,5-32,"(0, 2, 0, 1, 2, 0, 1)",1,1,3,2,2,1
201202,Db C# Bb En F# Gb A#,C# Db En F# Gb A# Bb,11A466A,0258,4-27,"(0, 2, 0, 1, 2, 0, 2)",0,1,2,1,1,1
201210,Db C# Bb En F# Gn Ab,C# Db En F# Gn Ab Bb,11A4678,023469,6-45,"(0, 2, 0, 1, 2, 1, 0)",2,3,4,2,2,2
201211,Db C# Bb En F# Gn An,C# Db En F# Gn An Bb,11A4679,013469,6-27,"(0, 2, 0, 1, 2, 1, 1)",2,2,5,2,2,2
201212,Db C# Bb En F# Gn A#,C# Db En F# Gn A# Bb,11A467A,01369,5-31,"(0, 2, 0, 1, 2, 1, 2)",1,1,4,1,1,2
201220,Db C# Bb En F# G# Ab,C# Db En F# G# Ab Bb,11A4688,02469,5-34,"(0, 2, 0, 1, 2, 2, 0)",0,3,2,2,2,1
201221,Db C# Bb En F# G# An,C# Db En F# G# An Bb,11A4689,012469,6-46,"(0, 2, 0, 1, 2, 2, 1)",2,3,3,3,3,1
201222,Db C# Bb En F# G# A#,C# Db En F# G# A# Bb,11A468A,02469,5-34,"(0, 2, 0, 1, 2, 2, 2)",0,3,2,2,2,1
202000,Db C# Bb E# Fb Gb Ab,C# Db E# Fb Gb Ab Bb,11A5468,012469,6-46,"(0, 2, 0, 2, 0, 0, 0)",2,3,3,3,3,1
202001,Db C# Bb E# Fb Gb An,C# Db E# Fb Gb An Bb,11A5469,012569,6-44,"(0, 2, 0, 2, 0, 0, 1)",3,1,3,4,3,1
202002,Db C# Bb E# Fb Gb A#,C# Db E# Fb Gb A# Bb,11A546A,01258,5-38,"(0, 2, 0, 2, 0, 0, 2)",2,1,2,2,2,1
202010,Db C# Bb E# Fb Gn Ab,C# Db E# Fb Gn Ab Bb,11A5478,013469,6-27,"(0, 2, 0, 2, 0, 1, 0)",2,2,5,2,2,2
202011,Db C# Bb E# Fb Gn An,C# Db E# Fb Gn An Bb,11A5479,013569,6-28,"(0, 2, 0, 2, 0, 1, 1)",2,2,4,3,2,2
202012,Db C# Bb E# Fb Gn A#,C# Db E# Fb Gn A# Bb,11A547A,01369,5-31,"(0, 2, 0, 2, 0, 1, 2)",1,1,4,1,1,2
202020,Db C# Bb E# Fb G# Ab,C# Db E# Fb G# Ab Bb,11A5488,01469,5-32,"(0, 2, 0, 2, 0, 2, 0)",1,1,3,2,2,1
202021,Db C# Bb E# Fb G# An,C# Db E# Fb G# An Bb,11A5489,012569,6-44,"(0, 2, 0, 2, 0, 2, 1)",3,1,3,4,3,1
202022,Db C# Bb E# Fb G# A#,C# Db E# Fb G# A# Bb,11A548A,01469,5-32,"(0, 2, 0, 2, 0, 2, 2)",1,1,3,2,2,1
202100,Db C# Bb E# Fn Gb Ab,C# Db E# Fn Gb Ab Bb,11A5568,01358,5-27,"(0, 2, 0, 2, 1, 0, 0)",1,2,2,2,3,0
202101,Db C# Bb E# Fn Gb An,C# Db E# Fn Gb An Bb,11A5569,01458,5-21,"(0, 2, 0, 2, 1, 0, 1)",2,0,2,4,2,0
202102,Db C# Bb E# Fn Gb A#,C# Db E# Fn Gb A# Bb,11A556A,0158,4-20,"(0, 2, 0, 2, 1, 0, 2)",1,0,1,2,2,0
202110,Db C# Bb E# Fn Gn Ab,C# Db E# Fn Gn Ab Bb,11A5578,02358,5-25,"(0, 2, 0, 2, 1, 1, 0)",1,2,3,1,2,1
202111,Db C# Bb E# Fn Gn An,C# Db E# Fn Gn An Bb,11A5579,02458,5-26,"(0, 2, 0, 2, 1, 1, 1)",1,2,2,3,1,1
202112,Db C# Bb E# Fn Gn A#,C# Db E# Fn Gn A# Bb,11A557A,0258,4-27,"(0, 2, 0, 2, 1, 1, 2)",0,1,2,1,1,1
202120,Db C# Bb E# Fn G# Ab,C# Db E# Fn G# Ab Bb,11A5588,0358,4-26,"(0, 2, 0, 2, 1, 2, 0)",0,1,2,1,2,0
202121,Db C# Bb E# Fn G# An,C# Db E# Fn G# An Bb,11A5589,03458,5-37,"(0, 2, 0, 2, 1, 2, 1)",2,1,2,2,2,0
202122,Db C# Bb E# Fn G# A#,C# Db E# Fn G# A# Bb,11A558A,0358,4-26,"(0, 2, 0, 2, 1, 2, 2)",0,1,2,1,2,0
202200,Db C# Bb E# F# Gb Ab,C# Db E# F# Gb Ab Bb,11A5668,01358,5-27,"(0, 2, 0, 2, 2, 0, 0)",1,2,2,2,3,0
202201,Db C# Bb E# F# Gb An,C# Db E# F# Gb An Bb,11A5669,01458,5-21,"(0, 2, 0, 2, 2, 0, 1)",2,0,2,4,2,0
202202,Db C# Bb E# F# Gb A#,C# Db E# F# Gb A# Bb,11A566A,0158,4-20,"(0, 2, 0, 2, 2, 0, 2)",1,0,1,2,2,0
202210,Db C# Bb E# F# Gn Ab,C# Db E# F# Gn Ab Bb,11A5678,012358,6-40,"(0, 2, 0, 2, 2, 1, 0)",3,3,3,2,3,1
202211,Db C# Bb E# F# Gn An,C# Db E# F# Gn An Bb,11A5679,012458,6-15,"(0, 2, 0, 2, 2, 1, 1)",3,2,3,4,2,1
202212,Db C# Bb E# F# Gn A#,C# Db E# F# Gn A# Bb,11A567A,01258,5-38,"(0, 2, 0, 2, 2, 1, 2)",2,1,2,2,2,1
202220,Db C# Bb E# F# G# Ab,C# Db E# F# G# Ab Bb,11A5688,01358,5-27,"(0, 2, 0, 2, 2, 2, 0)",1,2,2,2,3,0
202221,Db C# Bb E# F# G# An,C# Db E# F# G# An Bb,11A5689,013458,6-14,"(0, 2, 0, 2, 2, 2, 1)",3,2,3,4,3,0
202222,Db C# Bb E# F# G# A#,C# Db E# F# G# A# Bb,11A568A,01358,5-27,"(0, 2, 0, 2, 2, 2, 2)",1,2,2,2,3,0
210000,Db C# Bn Eb Fb Gb Ab,C# Db Eb Fb Gb Ab Bn,11B3468,024579,6-32,"(0, 2, 1, 0, 0, 0, 0)",1,4,3,2,5,0
210001,Db C# Bn Eb Fb Gb An,C# Db Eb Fb Gb An Bn,11B3469,023579,6-33,"(0, 2, 1, 0, 0, 0, 1)",1,4,3,2,4,1
210002,Db C# Bn Eb Fb Gb A#,C# Db Eb Fb Gb A# Bn,11B346A,013568,6-25,"(0, 2, 1, 0, 0, 0, 2)",2,3,3,2,4,1
210010,Db C# Bn Eb Fb Gn Ab,C# Db Eb Fb Gn Ab Bn,11B3478,013589,6-31,"(0, 2, 1, 0, 0, 1, 0)",2,2,3,4,3,1
210011,Db C# Bn Eb Fb Gn An,C# Db Eb Fb Gn An Bn,11B3479,013579,6-34,"(0, 2, 1, 0, 0, 1, 1)",1,4,2,4,2,2
210012,Db C# Bn Eb Fb Gn A#,C# Db Eb Fb Gn A# Bn,11B347A,013569,6-28,"(0, 2, 1, 0, 0, 1, 2)",2,2,4,3,2,2
210020,Db C# Bn Eb Fb G# Ab,C# Db Eb Fb G# Ab Bn,11B3488,01358,5-27,"(0, 2, 1, 0, 0, 2, 0)",1,2,2,2,3,0
210021,Db C# Bn Eb Fb G# An,C# Db Eb Fb G# An Bn,11B3489,013578,6-26,"(0, 2, 1, 0, 0, 2, 1)",2,3,2,3,4,1
210022,Db C# Bn Eb Fb G# A#,C# Db Eb Fb G# A# Bn,11B348A,013568,6-25,"(0, 2, 1, 0, 0, 2, 2)",2,3,3,2,4,1
210100,Db C# Bn Eb Fn Gb Ab,C# Db Eb Fn Gb Ab Bn,11B3568,023579,6-33,"(0, 2, 1, 0, 1, 0, 0)",1,4,3,2,4,1
210101,Db C# Bn Eb Fn Gb An,C# Db Eb Fn Gb An Bn,11B3569,013579,6-34,"(0, 2, 1, 0, 1, 0, 1)",1,4,2,4,2,2
210102,Db C# Bn Eb Fn Gb A#,C# Db Eb Fn Gb A# Bn,11B356A,013578,6-26,"(0, 2, 1, 0, 1, 0, 2)",2,3,2,3,4,1
210110,Db C# Bn Eb Fn Gn Ab,C# Db Eb Fn Gn Ab Bn,11B3578,013579,6-34,"(0, 2, 1, 0, 1, 1, 0)",1,4,2,4,2,2
210111,Db C# Bn Eb Fn Gn An,C# Db Eb Fn Gn An Bn,11B3579,02468A,6-35,"(0, 2, 1, 0, 1, 1, 1)",0,6,0,6,0,3
210112,Db C# Bn Eb Fn Gn A#,C# Db Eb Fn Gn A# Bn,11B357A,013579,6-34,"(0, 2, 1, 0, 1, 1, 2)",1,4,2,4,2,2
210120,Db C# Bn Eb Fn G# Ab,C# Db Eb Fn G# Ab Bn,11B3588,02469,5-34,"(0, 2, 1, 0, 1, 2, 0)",0,3,2,2,2,1
210121,Db C# Bn Eb Fn G# An,C# Db Eb Fn G# An Bn,11B3589,013579,6-34,"(0, 2, 1, 0, 1, 2, 1)",1,4,2,4,2,2
210122,Db C# Bn Eb Fn G# A#,C# Db Eb Fn G# A# Bn,11B358A,023579,6-33,"(0, 2, 1, 0, 1, 2, 2)",1,4,3,2,4,1
210200,Db C# Bn Eb F# Gb Ab,C# Db Eb F# Gb Ab Bn,11B3668,02479,5-35,"(0, 2, 1, 0, 2, 0, 0)",0,3,2,1,4,0
210201,Db C# Bn Eb F# Gb An,C# Db Eb F# Gb An Bn,11B3669,02469,5-34,"(0, 2, 1, 0, 2, 0, 1)",0,3,2,2,2,1
210202,Db C# Bn Eb F# Gb A#,C# Db Eb F# Gb A# Bn,11B366A,01358,5-27,"(0, 2, 1, 0, 2, 0, 2)",1,2,2,2,3,0
210210,Db C# Bn Eb F# Gn Ab,C# Db Eb F# Gn Ab Bn,11B3678,012579,6-48,"(0, 2, 1, 0, 2, 1, 0)",2,3,2,3,4,1
210211,Db C# Bn Eb F# Gn An,C# Db Eb F# Gn An Bn,11B3679,013579,6-34,"(0, 2, 1, 0, 2, 1, 1)",1,4,2,4,2,2
210212,Db C# Bn Eb F# Gn A#,C# Db Eb F# Gn A# Bn,11B367A,013589,6-31,"(0, 2, 1, 0, 2, 1, 2)",2,2,3,4,3,1
210220,Db C# Bn Eb F# G# Ab,C# Db Eb F# G# Ab Bn,11B3688,02479,5-35,"(0, 2, 1, 0, 2, 2, 0)",0,3,2,1,4,0
210221,Db C# Bn Eb F# G# An,C# Db Eb F# G# An Bn,11B3689,023579,6-33,"(0, 2, 1, 0, 2, 2, 1)",1,4,3,2,4,1
210222,Db C# Bn Eb F# G# A#,C# Db Eb F# G# A# Bn,11B368A,024579,6-32,"(0, 2, 1, 0, 2, 2, 2)",1,4,3,2,5,0
211000,Db C# Bn En Fb Gb Ab,C# Db En Fb Gb Ab Bn,11B4468,02479,5-35,"(0, 2, 1, 1, 0, 0, 0)",0,3,2,1,4,0
211001,Db C# Bn En Fb Gb An,C# Db En Fb Gb An Bn,11B4469,02479,5-35,"(0, 2, 1, 1, 0, 0, 1)",0,3,2,1,4,0
211002,Db C# Bn En Fb Gb A#,C# Db En Fb Gb A# Bn,11B446A,01368,5-29,"(0, 2, 1, 1, 0, 0, 2)",1,2,2,1,3,1
211010,Db C# Bn En Fb Gn Ab,C# Db En Fb Gn Ab Bn,11B4478,01469,5-32,"(0, 2, 1, 1, 0, 1, 0)",1,1,3,2,2,1
211011,Db C# Bn En Fb Gn An,C# Db En Fb Gn An Bn,11B4479,02469,5-34,"(0, 2, 1, 1, 0, 1, 1)",0,3,2,2,2,1
211012,Db C# Bn En Fb Gn A#,C# Db En Fb Gn A# Bn,11B447A,01369,5-31,"(0, 2, 1, 1, 0, 1, 2)",1,1,4,1,1,2
211020,Db C# Bn En Fb G# Ab,C# Db En Fb G# Ab Bn,11B4488,0358,4-26,"(0, 2, 1, 1, 0, 2, 0)",0,1,2,1,2,0
211021,Db C# Bn En Fb G# An,C# Db En Fb G# An Bn,11B4489,01358,5-27,"(0, 2, 1, 1, 0, 2, 1)",1,2,2,2,3,0
211022,Db C# Bn En Fb G# A#,C# Db En Fb G# A# Bn,11B448A,02358,5-25,"(0, 2, 1, 1, 0, 2, 2)",1,2,3,1,2,1
211100,Db C# Bn En Fn Gb Ab,C# Db En Fn Gb Ab Bn,11B4568,012479,6-47,"(0, 2, 1, 1, 1, 0, 0)",2,3,3,2,4,1
211101,Db C# Bn En Fn Gb An,C# Db En Fn Gb An Bn,11B4569,012579,6-48,"(0, 2, 1, 1, 1, 0, 1)",2,3,2,3,4,1
211102,Db C# Bn En Fn Gb A#,C# Db En Fn Gb A# Bn,11B456A,012578,6-18,"(0, 2, 1, 1, 1, 0, 2)",3,2,2,2,4,2
211110,Db C# Bn En Fn Gn Ab,C# Db En Fn Gn Ab Bn,11B4578,013479,6-49,"(0, 2, 1, 1, 1, 1, 0)",2,2,4,3,2,2
211111,Db C# Bn En Fn Gn An,C# Db En Fn Gn An Bn,11B4579,013579,6-34,"(0, 2, 1, 1, 1, 1, 1)",1,4,2,4,2,2
211112,Db C# Bn En Fn Gn A#,C# Db En Fn Gn A# Bn,11B457A,013679,6-30,"(0, 2, 1, 1, 1, 1, 2)",2,2,4,2,2,3
211120,Db C# Bn En Fn G# Ab,C# Db En Fn G# Ab Bn,11B4588,01469,5-32,"(0, 2, 1, 1, 1, 2, 0)",1,1,3,2,2,1
211121,Db C# Bn En Fn G# An,C# Db En Fn G# An Bn,11B4589,013589,6-31,"(0, 2, 1, 1, 1, 2, 1)",2,2,3,4,3,1
211122,Db C# Bn En Fn G# A#,C# Db En Fn G# A# Bn,11B458A,014679,6-50,"(0, 2, 1, 1, 1, 2, 2)",2,2,4,2,3,2
211200,Db C# Bn En F# Gb Ab,C# Db En F# Gb Ab Bn,11B4668,02479,5-35,"(0, 2, 1, 1, 2, 0, 0)",0,3,2,1,4,0
211201,Db C# Bn En F# Gb An,C# Db En F# Gb An Bn,11B4669,02479,5-35,"(0, 2, 1, 1, 2, 0, 1)",0,3,2,1,4,0
211202,Db C# Bn En F# Gb A#,C# Db En F# Gb A# Bn,11B466A,01368,5-29,"(0, 2, 1, 1, 2, 0, 2)",1,2,2,1,3,1
211210,Db C# Bn En F# Gn Ab,C# Db En F# Gn Ab Bn,11B4678,012479,6-47,"(0, 2, 1, 1, 2, 1, 0)",2,3,3,2,4,1
211211,Db C# Bn En F# Gn An,C# Db En F# Gn An Bn,11B4679,023579,6-33,"(0, 2, 1, 1, 2, 1, 1)",1,4,3,2,4,1
211212,Db C# Bn En F# Gn A#,C# Db En F# Gn A# Bn,11B467A,013689,6-29,"(0, 2, 1, 1, 2, 1, 2)",2,2,4,2,3,2
211220,Db C# Bn En F# G# Ab,C# Db En F# G# Ab Bn,11B4688,02479,5-35,"(0, 2, 1, 1, 2, 2, 0)",0,3,2,1,4,0
211221,Db C# Bn En F# G# An,C# Db En F# G# An Bn,11B4689,024579,6-32,"(0, 2, 1, 1, 2, 2, 1)",1,4,3,2,5,0
211222,Db C# Bn En F# G# A#,C# Db En F# G# A# Bn,11B468A,023579,6-33,"(0, 2, 1, 1, 2, 2, 2)",1,4,3,2,4,1
212000,Db C# Bn E# Fb Gb Ab,C# Db E# Fb Gb Ab Bn,11B5468,012479,6-47,"(0, 2, 1, 2, 0, 0, 0)",2,3,3,2,4,1
212001,Db C# Bn E# Fb Gb An,C# Db E# Fb Gb An Bn,11B5469,012579,6-48,"(0, 2, 1, 2, 0, 0, 1)",2,3,2,3,4,1
212002,Db C# Bn E# Fb Gb A#,C# Db E# Fb Gb A# Bn,11B546A,012578,6-18,"(0, 2, 1, 2, 0, 0, 2)",3,2,2,2,4,2
212010,Db C# Bn E# Fb Gn Ab,C# Db E# Fb Gn Ab Bn,11B5478,013479,6-49,"(0, 2, 1, 2, 0, 1, 0)",2,2,4,3,2,2
212011,Db C# Bn E# Fb Gn An,C# Db E# Fb Gn An Bn,11B5479,013579,6-34,"(0, 2, 1, 2, 0, 1, 1)",1,4,2,4,2,2
212012,Db C# Bn E# Fb Gn A#,C# Db E# Fb Gn A# Bn,11B547A,013679,6-30,"(0, 2, 1, 2, 0, 1, 2)",2,2,4,2,2,3
212020,Db C# Bn E# Fb G# Ab,C# Db E# Fb G# Ab Bn,11B5488,01469,5-32,"(0, 2, 1, 2, 0, 2, 0)",1,1,3,2,2,1
212021,Db C# Bn E# Fb G# An,C# Db E# Fb G# An Bn,11B5489,013589,6-31,"(0, 2, 1, 2, 0, 2, 1)",2,2,3,4,3,1
212022,Db C# Bn E# Fb G# A#,C# Db E# Fb G# A# Bn,11B548A,014679,6-50,"(0, 2, 1, 2, 0, 2, 2)",2,2,4,2,3,2
212100,Db C# Bn E# Fn Gb Ab,C# Db E# Fn Gb Ab Bn,11B5568,01368,5-29,"(0, 2, 1, 2, 1, 0, 0)",1,2,2,1,3,1
212101,Db C# Bn E# Fn Gb An,C# Db E# Fn Gb An Bn,11B5569,01468,5-30,"(0, 2, 1, 2, 1, 0, 1)",1,2,1,3,2,1
212102,Db C# Bn E# Fn Gb A#,C# Db E# Fn Gb A# Bn,11B556A,01378,5-20,"(0, 2, 1, 2, 1, 0, 2)",2,1,1,2,3,1
212110,Db C# Bn E# Fn Gn Ab,C# Db E# Fn Gn Ab Bn,11B5578,02368,5-28,"(0, 2, 1, 2, 1, 1, 0)",1,2,2,2,1,2
212111,Db C# Bn E# Fn Gn An,C# Db E# Fn Gn An Bn,11B5579,02468,5-33,"(0, 2, 1, 2, 1, 1, 1)",0,4,0,4,0,2
212112,Db C# Bn E# Fn Gn A#,C# Db E# Fn Gn A# Bn,11B557A,02368,5-28,"(0, 2, 1, 2, 1, 1, 2)",1,2,2,2,1,2
212120,Db C# Bn E# Fn G# Ab,C# Db E# Fn G# Ab Bn,11B5588,0258,4-27,"(0, 2, 1, 2, 1, 2, 0)",0,1,2,1,1,1
212121,Db C# Bn E# Fn G# An,C# Db E# Fn G# An Bn,11B5589,02458,5-26,"(0, 2, 1, 2, 1, 2, 1)",1,2,2,3,1,1
212122,Db C# Bn E# Fn G# A#,C# Db E# Fn G# A# Bn,11B558A,02358,5-25,"(0, 2, 1, 2, 1, 2, 2)",1,2,3,1,2,1
212200,Db C# Bn E# F# Gb Ab,C# Db E# F# Gb Ab Bn,11B5668,01368,5-29,"(0, 2, 1, 2, 2, 0, 0)",1,2,2,1,3,1
212201,Db C# Bn E# F# Gb An,C# Db E# F# Gb An Bn,11B5669,01468,5-30,"(0, 2, 1, 2, 2, 0, 1)",1,2,1,3,2,1
212202,Db C# Bn E# F# Gb A#,C# Db E# F# Gb A# Bn,11B566A,01378,5-20,"(0, 2, 1, 2, 2, 0, 2)",2,1,1,2,3,1
212210,Db C# Bn E# F# Gn Ab,C# Db E# F# Gn Ab Bn,11B5678,012368,6-41,"(0, 2, 1, 2, 2, 1, 0)",3,3,2,2,3,2
212211,Db C# Bn E# F# Gn An,C# Db E# F# Gn An Bn,11B5679,012468,6-22,"(0, 2, 1, 2, 2, 1, 1)",2,4,1,4,2,2
212212,Db C# Bn E# F# Gn A#,C# Db E# F# Gn A# Bn,11B567A,012568,6-43,"(0, 2, 1, 2, 2, 1, 2)",3,2,2,3,3,2
212220,Db C# Bn E# F# G# Ab,C# Db E# F# G# Ab Bn,11B5688,01368,5-29,"(0, 2, 1, 2, 2, 2, 0)",1,2,2,1,3,1
212221,Db C# Bn E# F# G# An,C# Db E# F# G# An Bn,11B5689,013468,6-24,"(0, 2, 1, 2, 2, 2, 1)",2,3,3,3,3,1
212222,Db C# Bn E# F# G# A#,C# Db E# F# G# A# Bn,11B568A,013568,6-25,"(0, 2, 1, 2, 2, 2, 2)",2,3,3,2,4,1
220000,Db C# B# Eb Fb Gb Ab,C# Db Eb Fb Gb Ab B#,1103468,013468,6-24,"(0, 2, 2, 0, 0, 0, 0)",2,3,3,3,3,1
220001,Db C# B# Eb Fb Gb An,C# Db Eb Fb Gb An B#,1103469,013469,6-27,"(0, 2, 2, 0, 0, 0, 1)",2,2,5,2,2,2
220002,Db C# B# Eb Fb Gb A#,C# Db Eb Fb Gb A# B#,110346A,023568,6-23,"(0, 2, 2, 0, 0, 0, 2)",2,3,4,2,2,2
220010,Db C# B# Eb Fb Gn Ab,C# Db Eb Fb Gn Ab B#,1103478,013478,6-19,"(0, 2, 2, 0, 0, 1, 0)",3,1,3,4,3,1
220011,Db C# B# Eb Fb Gn An,C# Db Eb Fb Gn An B#,1103479,013479,6-49,"(0, 2, 2, 0, 0, 1, 1)",2,2,4,3,2,2
220012,Db C# B# Eb Fb Gn A#,C# Db Eb Fb Gn A# B#,110347A,013469,6-27,"(0, 2, 2, 0, 0, 1, 2)",2,2,5,2,2,2
220020,Db C# B# Eb Fb G# Ab,C# Db Eb Fb G# Ab B#,1103488,01348,5-17,"(0, 2, 2, 0, 0, 2, 0)",2,1,2,3,2,0
220021,Db C# B# Eb Fb G# An,C# Db Eb Fb G# An B#,1103489,013478,6-19,"(0, 2, 2, 0, 0, 2, 1)",3,1,3,4,3,1
220022,Db C# B# Eb Fb G# A#,C# Db Eb Fb G# A# B#,110348A,013468,6-24,"(0, 2, 2, 0, 0, 2, 2)",2,3,3,3,3,1
220100,Db C# B# Eb Fn Gb Ab,C# Db Eb Fn Gb Ab B#,1103568,013568,6-25,"(0, 2, 2, 0, 1, 0, 0)",2,3,3,2,4,1
220101,Db C# B# Eb Fn Gb An,C# Db Eb Fn Gb An B#,1103569,013569,6-28,"(0, 2, 2, 0, 1, 0, 1)",2,2,4,3,2,2
220102,Db C# B# Eb Fn Gb A#,C# Db Eb Fn Gb A# B#,110356A,013568,6-25,"(0, 2, 2, 0, 1, 0, 2)",2,3,3,2,4,1
220110,Db C# B# Eb Fn Gn Ab,C# Db Eb Fn Gn Ab B#,1103578,013578,6-26,"(0, 2, 2, 0, 1, 1, 0)",2,3,2,3,4,1
220111,Db C# B# Eb Fn Gn An,C# Db Eb Fn Gn An B#,1103579,013579,6-34,"(0, 2, 2, 0, 1, 1, 1)",1,4,2,4,2,2
220112,Db C# B# Eb Fn Gn A#,C# Db Eb Fn Gn A# B#,110357A,023579,6-33,"(0, 2, 2, 0, 1, 1, 2)",1,4,3,2,4,1
220120,Db C# B# Eb Fn G# Ab,C# Db Eb Fn G# Ab B#,1103588,01358,5-27,"(0, 2, 2, 0, 1, 2, 0)",1,2,2,2,3,0
220121,Db C# B# Eb Fn G# An,C# Db Eb Fn G# An B#,1103589,013589,6-31,"(0, 2, 2, 0, 1, 2, 1)",2,2,3,4,3,1
220122,Db C# B# Eb Fn G# A#,C# Db Eb Fn G# A# B#,110358A,024579,6-32,"(0, 2, 2, 0, 1, 2, 2)",1,4,3,2,5,0
220200,Db C# B# Eb F# Gb Ab,C# Db Eb F# Gb Ab B#,1103668,01368,5-29,"(0, 2, 2, 0, 2, 0, 0)",1,2,2,1,3,1
220201,Db C# B# Eb F# Gb An,C# Db Eb F# Gb An B#,1103669,01369,5-31,"(0, 2, 2, 0, 2, 0, 1)",1,1,4,1,1,2
220202,Db C# B# Eb F# Gb A#,C# Db Eb F# Gb A# B#,110366A,02358,5-25,"(0, 2, 2, 0, 2, 0, 2)",1,2,3,1,2,1
220210,Db C# B# Eb F# Gn Ab,C# Db Eb F# Gn Ab B#,1103678,012578,6-18,"(0, 2, 2, 0, 2, 1, 0)",3,2,2,2,4,2
220211,Db C# B# Eb F# Gn An,C# Db Eb F# Gn An B#,1103679,013679,6-30,"(0, 2, 2, 0, 2, 1, 1)",2,2,4,2,2,3
220212,Db C# B# Eb F# Gn A#,C# Db Eb F# Gn A# B#,110367A,014679,6-50,"(0, 2, 2, 0, 2, 1, 2)",2,2,4,2,3,2
220220,Db C# B# Eb F# G# Ab,C# Db Eb F# G# Ab B#,1103688,01368,5-29,"(0, 2, 2, 0, 2, 2, 0)",1,2,2,1,3,1
220221,Db C# B# Eb F# G# An,C# Db Eb F# G# An B#,1103689,013689,6-29,"(0, 2, 2, 0, 2, 2, 1)",2,2,4,2,3,2
220222,Db C# B# Eb F# G# A#,C# Db Eb F# G# A# B#,110368A,023579,6-33,"(0, 2, 2, 0, 2, 2, 2)",1,4,3,2,4,1
221000,Db C# B# En Fb Gb Ab,C# Db En Fb Gb Ab B#,1104468,01468,5-30,"(0, 2, 2, 1, 0, 0, 0)",1,2,1,3,2,1
