Index,Notes (radial),Notes (scalar),PC Set,Prime Form,Forte class,Accidents,1,2,3,4,5,6
1022,Db Cb Bb En Fb G# A#,Cb Db En Fb G# A# Bb,1BA448A,02358,5-25,"(0, 0, 0, 1, 0, 2, 2)",1,2,3,1,2,1
1100,Db Cb Bb En Fn Gb Ab,Cb Db En Fn Gb Ab Bb,1BA4568,0124679,7-29,"(0, 0, 0, 1, 1, 0, 0)",3,4,4,3,5,2
1101,Db Cb Bb En Fn Gb An,Cb Db En Fn Gb An Bb,1BA4569,0124789,7-20,"(0, 0, 0, 1, 1, 0, 1)",4,3,3,4,5,2
1102,Db Cb Bb En Fn Gb A#,Cb Db En Fn Gb A# Bb,1BA456A,012578,6-18,"(0, 0, 0, 1, 1, 0, 2)",3,2,2,2,4,2
1110,Db Cb Bb En Fn Gn Ab,Cb Db En Fn Gn Ab Bb,1BA4578,0134679,7-31,"(0, 0, 0, 1, 1, 1, 0)",3,3,6,3,3,3
1111,Db Cb Bb En Fn Gn An,Cb Db En Fn Gn An Bb,1BA4579,0135679,7-28,"(0, 0, 0, 1, 1, 1, 1)",3,4,4,4,3,3
1112,Db Cb Bb En Fn Gn A#,Cb Db En Fn Gn A# Bb,1BA457A,013679,6-30,"(0, 0, 0, 1, 1, 1, 2)",2,2,4,2,2,3
1120,Db Cb Bb En Fn G# Ab,Cb Db En Fn G# Ab Bb,1BA4588,014679,6-50,"(0, 0, 0, 1, 1, 2, 0)",2,2,4,2,3,2
1121,Db Cb Bb En Fn G# An,Cb Db En Fn G# An Bb,1BA4589,0123589,7-18,"(0, 0, 0, 1, 1, 2, 1)",4,3,4,4,4,2
1122,Db Cb Bb En Fn G# A#,Cb Db En Fn G# A# Bb,1BA458A,014679,6-50,"(0, 0, 0, 1, 1, 2, 2)",2,2,4,2,3,2
1200,Db Cb Bb En F# Gb Ab,Cb Db En F# Gb Ab Bb,1BA4668,023579,6-33,"(0, 0, 0, 1, 2, 0, 0)",1,4,3,2,4,1
1201,Db Cb Bb En F# Gb An,Cb Db En F# Gb An Bb,1BA4669,012479,6-47,"(0, 0, 0, 1, 2, 0, 1)",2,3,3,2,4,1
1202,Db Cb Bb En F# Gb A#,Cb Db En F# Gb A# Bb,1BA466A,01368,5-29,"(0, 0, 0, 1, 2, 0, 2)",1,2,2,1,3,1
1210,Db Cb Bb En F# Gn Ab,Cb Db En F# Gn Ab Bb,1BA4678,0234679,7-25,"(0, 0, 0, 1, 2, 1, 0)",3,4,5,3,4,2
1211,Db Cb Bb En F# Gn An,Cb Db En F# Gn An Bb,1BA4679,0234679,7-25,"(0, 0, 0, 1, 2, 1, 1)",3,4,5,3,4,2
1212,Db Cb Bb En F# Gn A#,Cb Db En F# Gn A# Bb,1BA467A,013689,6-29,"(0, 0, 0, 1, 2, 1, 2)",2,2,4,2,3,2
1220,Db Cb Bb En F# G# Ab,Cb Db En F# G# Ab Bb,1BA4688,023579,6-33,"(0, 0, 0, 1, 2, 2, 0)",1,4,3,2,4,1
1221,Db Cb Bb En F# G# An,Cb Db En F# G# An Bb,1BA4689,0234579,7-23,"(0, 0, 0, 1, 2, 2, 1)",3,5,4,3,5,1
1222,Db Cb Bb En F# G# A#,Cb Db En F# G# A# Bb,1BA468A,023579,6-33,"(0, 0, 0, 1, 2, 2, 2)",1,4,3,2,4,1
2000,Db Cb Bb E# Fb Gb Ab,Cb Db E# Fb Gb Ab Bb,1BA5468,0124679,7-29,"(0, 0, 0, 2, 0, 0, 0)",3,4,4,3,5,2
2001,Db Cb Bb E# Fb Gb An,Cb Db E# Fb Gb An Bb,1BA5469,0124789,7-20,"(0, 0, 0, 2, 0, 0, 1)",4,3,3,4,5,2
2002,Db Cb Bb E# Fb Gb A#,Cb Db E# Fb Gb A# Bb,1BA546A,012578,6-18,"(0, 0, 0, 2, 0, 0, 2)",3,2,2,2,4,2
2010,Db Cb Bb E# Fb Gn Ab,Cb Db E# Fb Gn Ab Bb,1BA5478,0134679,7-31,"(0, 0, 0, 2, 0, 1, 0)",3,3,6,3,3,3
2011,Db Cb Bb E# Fb Gn An,Cb Db E# Fb Gn An Bb,1BA5479,0135679,7-28,"(0, 0, 0, 2, 0, 1, 1)",3,4,4,4,3,3
2012,Db Cb Bb E# Fb Gn A#,Cb Db E# Fb Gn A# Bb,1BA547A,013679,6-30,"(0, 0, 0, 2, 0, 1, 2)",2,2,4,2,2,3
2020,Db Cb Bb E# Fb G# Ab,Cb Db E# Fb G# Ab Bb,1BA5488,014679,6-50,"(0, 0, 0, 2, 0, 2, 0)",2,2,4,2,3,2
2021,Db Cb Bb E# Fb G# An,Cb Db E# Fb G# An Bb,1BA5489,0123589,7-18,"(0, 0, 0, 2, 0, 2, 1)",4,3,4,4,4,2
2022,Db Cb Bb E# Fb G# A#,Cb Db E# Fb G# A# Bb,1BA548A,014679,6-50,"(0, 0, 0, 2, 0, 2, 2)",2,2,4,2,3,2
2100,Db Cb Bb E# Fn Gb Ab,Cb Db E# Fn Gb Ab Bb,1BA5568,013568,6-25,"(0, 0, 0, 2, 1, 0, 0)",2,3,3,2,4,1
2101,Db Cb Bb E# Fn Gb An,Cb Db E# Fn Gb An Bb,1BA5569,014568,6-16,"(0, 0, 0, 2, 1, 0, 1)",3,2,2,4,3,1
2102,Db Cb Bb E# Fn Gb A#,Cb Db E# Fn Gb A# Bb,1BA556A,01378,5-20,"(0, 0, 0, 2, 1, 0, 2)",2,1,1,2,3,1
2110,Db Cb Bb E# Fn Gn Ab,Cb Db E# Fn Gn Ab Bb,1BA5578,023568,6-23,"(0, 0, 0, 2, 1, 1, 0)",2,3,4,2,2,2
2111,Db Cb Bb E# Fn Gn An,Cb Db E# Fn Gn An Bb,1BA5579,023468,6-21,"(0, 0, 0, 2, 1, 1, 1)",2,4,2,4,1,2
2112,Db Cb Bb E# Fn Gn A#,Cb Db E# Fn Gn A# Bb,1BA557A,02368,5-28,"(0, 0, 0, 2, 1, 1, 2)",1,2,2,2,1,2
2120,Db Cb Bb E# Fn G# Ab,Cb Db E# Fn G# Ab Bb,1BA5588,02358,5-25,"(0, 0, 0, 2, 1, 2, 0)",1,2,3,1,2,1
2121,Db Cb Bb E# Fn G# An,Cb Db E# Fn G# An Bb,1BA5589,023458,6-39,"(0, 0, 0, 2, 1, 2, 1)",3,3,3,3,2,1
2122,Db Cb Bb E# Fn G# A#,Cb Db E# Fn G# A# Bb,1BA558A,02358,5-25,"(0, 0, 0, 2, 1, 2, 2)",1,2,3,1,2,1
2200,Db Cb Bb E# F# Gb Ab,Cb Db E# F# Gb Ab Bb,1BA5668,013568,6-25,"(0, 0, 0, 2, 2, 0, 0)",2,3,3,2,4,1
2201,Db Cb Bb E# F# Gb An,Cb Db E# F# Gb An Bb,1BA5669,014568,6-16,"(0, 0, 0, 2, 2, 0, 1)",3,2,2,4,3,1
2202,Db Cb Bb E# F# Gb A#,Cb Db E# F# Gb A# Bb,1BA566A,01378,5-20,"(0, 0, 0, 2, 2, 0, 2)",2,1,1,2,3,1
2210,Db Cb Bb E# F# Gn Ab,Cb Db E# F# Gn Ab Bb,1BA5678,0123568,7-36,"(0, 0, 0, 2, 2, 1, 0)",4,4,4,3,4,2
2211,Db Cb Bb E# F# Gn An,Cb Db E# F# Gn An Bb,1BA5679,0124568,7-13,"(0, 0, 0, 2, 2, 1, 1)",4,4,3,5,3,2
2212,Db Cb Bb E# F# Gn A#,Cb Db E# F# Gn A# Bb,1BA567A,012568,6-43,"(0, 0, 0, 2, 2, 1, 2)",3,2,2,3,3,2
2220,Db Cb Bb E# F# G# Ab,Cb Db E# F# G# Ab Bb,1BA5688,013568,6-25,"(0, 0, 0, 2, 2, 2, 0)",2,3,3,2,4,1
2221,Db Cb Bb E# F# G# An,Cb Db E# F# G# An Bb,1BA5689,0134568,7-11,"(0, 0, 0, 2, 2, 2, 1)",4,4,4,4,4,1
2222,Db Cb Bb E# F# G# A#,Cb Db E# F# G# A# Bb,1BA568A,013568,6-25,"(0, 0, 0, 2, 2, 2, 2)",2,3,3,2,4,1
10000,Db Cb Bn Eb Fb Gb Ab,Cb Db Eb Fb Gb Ab Bn,1BB3468,024579,6-32,"(0, 0, 1, 0, 0, 0, 0)",1,4,3,2,5,0
10001,Db Cb Bn Eb Fb Gb An,Cb Db Eb Fb Gb An Bn,1BB3469,023579,6-33,"(0, 0, 1, 0, 0, 0, 1)",1,4,3,2,4,1
10002,Db Cb Bn Eb Fb Gb A#,Cb Db Eb Fb Gb A# Bn,1BB346A,013568,6-25,"(0, 0, 1, 0, 0, 0, 2)",2,3,3,2,4,1
10010,Db Cb Bn Eb Fb Gn Ab,Cb Db Eb Fb Gn Ab Bn,1BB3478,013589,6-31,"(0, 0, 1, 0, 0, 1, 0)",2,2,3,4,3,1
10011,Db Cb Bn Eb Fb Gn An,Cb Db Eb Fb Gn An Bn,1BB3479,013579,6-34,"(0, 0, 1, 0, 0, 1, 1)",1,4,2,4,2,2
10012,Db Cb Bn Eb Fb Gn A#,Cb Db Eb Fb Gn A# Bn,1BB347A,013569,6-28,"(0, 0, 1, 0, 0, 1, 2)",2,2,4,3,2,2
10020,Db Cb Bn Eb Fb G# Ab,Cb Db Eb Fb G# Ab Bn,1BB3488,01358,5-27,"(0, 0, 1, 0, 0, 2, 0)",1,2,2,2,3,0
10021,Db Cb Bn Eb Fb G# An,Cb Db Eb Fb G# An Bn,1BB3489,013578,6-26,"(0, 0, 1, 0, 0, 2, 1)",2,3,2,3,4,1
10022,Db Cb Bn Eb Fb G# A#,Cb Db Eb Fb G# A# Bn,1BB348A,013568,6-25,"(0, 0, 1, 0, 0, 2, 2)",2,3,3,2,4,1
10100,Db Cb Bn Eb Fn Gb Ab,Cb Db Eb Fn Gb Ab Bn,1BB3568,023579,6-33,"(0, 0, 1, 0, 1, 0, 0)",1,4,3,2,4,1
10101,Db Cb Bn Eb Fn Gb An,Cb Db Eb Fn Gb An Bn,1BB3569,013579,6-34,"(0, 0, 1, 0, 1, 0, 1)",1,4,2,4,2,2
10102,Db Cb Bn Eb Fn Gb A#,Cb Db Eb Fn Gb A# Bn,1BB356A,013578,6-26,"(0, 0, 1, 0, 1, 0, 2)",2,3,2,3,4,1
10110,Db Cb Bn Eb Fn Gn Ab,Cb Db Eb Fn Gn Ab Bn,1BB3578,013579,6-34,"(0, 0, 1, 0, 1, 1, 0)",1,4,2,4,2,2
10111,Db Cb Bn Eb Fn Gn An,Cb Db Eb Fn Gn An Bn,1BB3579,02468A,6-35,"(0, 0, 1, 0, 1, 1, 1)",0,6,0,6,0,3
10112,Db Cb Bn Eb Fn Gn A#,Cb Db Eb Fn Gn A# Bn,1BB357A,013579,6-34,"(0, 0, 1, 0, 1, 1, 2)",1,4,2,4,2,2
10120,Db Cb Bn Eb Fn G# Ab,Cb Db Eb Fn G# Ab Bn,1BB3588,02469,5-34,"(0, 0, 1, 0, 1, 2, 0)",0,3,2,2,2,1
10121,Db Cb Bn Eb Fn G# An,Cb Db Eb Fn G# An Bn,1BB3589,013579,6-34,"(0, 0, 1, 0, 1, 2, 1)",1,4,2,4,2,2
10122,Db Cb Bn Eb Fn G# A#,Cb Db Eb Fn G# A# Bn,1BB358A,023579,6-33,"(0, 0, 1, 0, 1, 2, 2)",1,4,3,2,4,1
10200,Db Cb Bn Eb F# Gb Ab,Cb Db Eb F# Gb Ab Bn,1BB3668,02479,5-35,"(0, 0, 1, 0, 2, 0, 0)",0,3,2,1,4,0
10201,Db Cb Bn Eb F# Gb An,Cb Db Eb F# Gb An Bn,1BB3669,02469,5-34,"(0, 0, 1, 0, 2, 0, 1)",0,3,2,2,2,1
10202,Db Cb Bn Eb F# Gb A#,Cb Db Eb F# Gb A# Bn,1BB366A,01358,5-27,"(0, 0, 1, 0, 2, 0, 2)",1,2,2,2,3,0
10210,Db Cb Bn Eb F# Gn Ab,Cb Db Eb F# Gn Ab Bn,1BB3678,012579,6-48,"(0, 0, 1, 0, 2, 1, 0)",2,3,2,3,4,1
10211,Db Cb Bn Eb F# Gn An,Cb Db Eb F# Gn An Bn,1BB3679,013579,6-34,"(0, 0, 1, 0, 2, 1, 1)",1,4,2,4,2,2
10212,Db Cb Bn Eb F# Gn A#,Cb Db Eb F# Gn A# Bn,1BB367A,013589,6-31,"(0, 0, 1, 0, 2, 1, 2)",2,2,3,4,3,1
10220,Db Cb Bn Eb F# G# Ab,Cb Db Eb F# G# Ab Bn,1BB3688,02479,5-35,"(0, 0, 1, 0, 2, 2, 0)",0,3,2,1,4,0
10221,Db Cb Bn Eb F# G# An,Cb Db Eb F# G# An Bn,1BB3689,023579,6-33,"(0, 0, 1, 0, 2, 2, 1)",1,4,3,2,4,1
10222,Db Cb Bn Eb F# G# A#,Cb Db Eb F# G# A# Bn,1BB368A,024579,6-32,"(0, 0, 1, 0, 2, 2, 2)",1,4,3,2,5,0
11000,Db Cb Bn En Fb Gb Ab,Cb Db En Fb Gb Ab Bn,1BB4468,02479,5-35,"(0, 0, 1, 1, 0, 0, 0)",0,3,2,1,4,0
11001,Db Cb Bn En Fb Gb An,Cb Db En Fb Gb An Bn,1BB4469,02479,5-35,"(0, 0, 1, 1, 0, 0, 1)",0,3,2,1,4,0
